Category,Tool,Slug,Website,Requested Pricing Source,Final Pricing Source,Source Status,Source Scope Status,Locale Pricing Status,Fetch Status,Fetch Method,Current Free Plan,Verified Free Plan,Free Plan Status,Free Plan Safe,Current Starting Price,Verified Starting Price,Starting Price Status,Starting Price Safe,Verified Annual Billing,Annual Billing Status,Annual Billing Safe,Verified Monthly Billing,Monthly Billing Status,Monthly Billing Safe,Current Team / Business Plan,Verified Team / Business Plan,Team / Business Plan Status,Team / Business Plan Safe,Current Enterprise Plan,Verified Enterprise Plan,Enterprise Plan Status,Enterprise Plan Safe,Current Pricing Verified,Checked At,Overall Status,Tool Safe to Auto Apply,Evidence / Notes
AI & Automation; AI Writing; Marketing & SEO; Ecommerce,Copysmith,copysmith,https://copysmith.ai,https://copysmith.ai/pricing,https://www.copysmith.ai/,DISCOVERED,GENERIC,GENERIC,OK,PLAYWRIGHT,No,Not explicitly verified,REVIEW,NO,Paid plans available,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Available,Not explicitly verified,REVIEW,NO,Custom Pricing,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:20:47.457Z,REVIEW,NO,Discovered same-domain official pricing source.
AI & Automation; AI Writing; Marketing & SEO; SEO Content,LongShot,longshot,https://www.longshot.ai,,,SOURCE_MISSING,UNKNOWN,UNKNOWN,ERROR,NONE,No,Not explicitly verified,ERROR,NO,From $19/month,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Available,Not explicitly verified,ERROR,NO,Contact Sales,Not explicitly verified,ERROR,NO,June 2026,2026-08-23T08:20:40.265Z,SOURCE_MISSING,NO,No same-domain official pricing/plans/packages page was safely discovered. No same-domain official pricing/plans/packages page was safely discovered. Free Plan: No same-domain official pricing/plans/packages page was safely discovered. Starting Price: No same-domain official pricing/plans/packages page was safely discovered. Annual Billing: No same-domain official pricing/plans/packages page was safely discovered. Monthly Billing: No same-domain official pricing/plans/packages page was safely discovered. Team / Business Plan: No same-domain official pricing/plans/packages page was safely discovered. Enterprise Plan: No same-domain official pricing/plans/packages page was safely discovered.
AI & Automation; AI Image / Video; Video Marketing; Content Repurposing,Pictory,pictory,https://pictory.ai,https://pictory.ai/pricing/?nav=mega,https://pictory.ai/pricing/?nav=mega,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,$29/month Starter,"$25 per month, billed annually; $29 per month",CHANGE,YES,"$25 per month, billed annually",CHANGE,YES,$29 per month,CHANGE,YES,$199/month Team,"$119 per month, billed annually; $199 per month",CHANGE,YES,Custom pricing,Custom pricing; contact sales,MATCH,NO,June 2026,2026-08-23T08:20:53.302Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: The Starter plan is the clearly identified entry paid plan, listed at ""$25 per month, billed annually"" and ""$29 per month"". Annual Billing: Starter is listed at ""$25 per month, billed annually"". Monthly Billing: Starter is listed at ""$29 per month"". Team / Business Plan: The Team plan is explicitly for ""teams who work together to create videos"" and is priced at ""$119"" billed annually or ""$199 per month"". Enterprise Plan: The Enterprise plan is for ""companies who need to scale video creation"" and lists ""Custom LET'S TALK""."
AI & Automation; AI Image / Video; Text to Video; AI Voice,Fliki,fliki,https://fliki.ai,https://fliki.ai/pricing,https://fliki.ai/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Yes,MATCH,NO,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Premium,CHANGE,YES,Unknown,Enterprise,CHANGE,YES,June 2026,2026-08-23T08:21:01.829Z,PARTIAL,NO,Discovered same-domain official pricing source. Free Plan: “Free forever” and the FAQ states Fliki offers a tier “without any cost.” Team / Business Plan: “Premium The ultimate solution for professional teams & studios” and the comparison includes “Team collaboration.” Enterprise Plan: The page explicitly names an “Enterprise” plan with custom pricing billed yearly.
AI & Automation; AI Image / Video; AI Avatars; Training Video,Synthesia,synthesia,https://www.synthesia.io,https://www.synthesia.io/pricing,https://www.synthesia.io/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Yes,Yes,MATCH,NO,$29/month Starter,$29/mo billed monthly; $18/mo billed yearly,CHANGE,YES,$18/mo billed yearly,CHANGE,YES,$29/mo billed monthly,CHANGE,YES,$89/month Creator,Creator: $89/month billed monthly; $64/mo billed yearly,CHANGE,YES,Custom pricing,Custom pricing,MATCH,NO,June 2026,2026-08-23T08:21:02.929Z,VERIFIED,YES,"Discovered same-domain official pricing source. Free Plan: The pricing table explicitly names Basic as Free and lists $0/mo. Starting Price: The standard paid entry plan is Starter, shown at $29/mo billed monthly and $18/mo billed yearly. Annual Billing: Starter is explicitly listed at $18/mo billed yearly. Monthly Billing: Starter is explicitly listed at $29/mo billed monthly. Team / Business Plan: Creator is described as producing AI videos regularly with your team and includes multiple editors/guests. Enterprise Plan: The explicitly named Enterprise plan lists custom pricing and a Book demo call to action."
AI & Automation; AI Image / Video; Video Editing; Social Video,VEED,veed,https://www.veed.io,https://www.veed.io/pricing,https://www.veed.io/pricing,DISCOVERED,GENERIC,GENERIC,OK,PLAYWRIGHT,Unknown,Not explicitly verified,REVIEW,NO,Unknown,$10 per user / month billed yearly as $116,CHANGE,YES,$10 per user / month billed yearly as $116,CHANGE,YES,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Custom pricing — Contact Sales,CHANGE,YES,Unknown,2026-08-23T08:21:18.475Z,PARTIAL,NO,Discovered same-domain official pricing source. Starting Price: Creator is the first listed paid plan at $10 per user / month billed yearly as $116. Annual Billing: Creator is explicitly listed as billed yearly at $116. Enterprise Plan: Enterprise is explicitly listed with custom pricing and Contact Sales.
AI & Automation; AI Image / Video; Video Marketing; AI Video,InVideo,invideo,https://invideo.io,https://invideo.io/pricing/,https://invideo.io/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,$17 /mo; billed $200 yearly for Plus,CHANGE,YES,$200 yearly for Plus; Annual 15% off,CHANGE,YES,$17 /mo for Plus,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:21:13.273Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: The Individual section lists Plus at $17 /mo, billed $200 yearly. Annual Billing: Plus is listed as “*Billed $200 yearly” with “Annual 15% off.” Monthly Billing: Plus is listed at “$17 /mo.” Team / Business Plan: Complex product pricing requires review: The page has a “Team & Enterprise” heading but does not identify a Team plan or provide Team-specific pricing. Enterprise Plan: Complex product pricing requires review: The page mentions “Do you offer Enterprise plans?” in an FAQ, but does not identify an Enterprise plan or provide Enterprise-specific pricing."
AI & Automation; AI Image / Video; Video Marketing; Social Video,Wave.video,wave-video,https://wave.video,https://wave.video/pricing,https://wave.video/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,$16/mo; annual billing: 20% off,CHANGE,YES,Not explicitly verified,REVIEW,NO,$16/mo,CHANGE,YES,Unknown,$48/mo,CHANGE,YES,Unknown,Custom pricing,CHANGE,YES,Unknown,2026-08-23T08:21:16.138Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The pricing table explicitly lists an ongoing “Free” plan at “$ 0 /mo.” Starting Price: The standard paid entry plan is “Streamer $ 16 /mo”; the page also shows “Annually - 20%” and “Monthly.” Annual Billing: The pricing controls explicitly show “Annually - 20%.” Complex product pricing requires review: Annual Billing availability was indicated, but no explicit pricing amount for that exact billing context was verified. Monthly Billing: The pricing controls show “Monthly,” and the Streamer plan is listed at “$ 16 /mo.” Team / Business Plan: The Business tier is listed at “$ 48 /mo” and includes “Shared login”; the page also describes collaboration with an organization and team. Enterprise Plan: The page explicitly offers “custom options and special pricing for Enterprise” with “Contact Us.”"
AI & Automation; AI Image / Video; Audio Editing; Video Editing,Descript,descript,https://www.descript.com,https://www.descript.com/pricing,https://www.descript.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,"Hobbyist: $16 and $24 per person/month, with Monthly and Annual billing options shown",CHANGE,YES,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Business: $50 and $65 per person/month,CHANGE,YES,Unknown,Custom pricing; contact sales,CHANGE,YES,Unknown,2026-08-23T08:21:33.639Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: Free $0; the page explicitly calls it the Free plan. Starting Price: Hobbyist is the first paid plan shown, priced at $16 and $24 per person/month. Annual Billing: Complex product pricing requires review: The page shows Monthly and Annual labels and two Hobbyist prices, $16 and $24 per person/month, but the supplied text does not explicitly associate each amount with a billing option. Monthly Billing: Complex product pricing requires review: The page shows Monthly and Annual labels and two Hobbyist prices, $16 and $24 per person/month, but the supplied text does not explicitly associate each amount with a billing option. Team / Business Plan: Business is described as scaling to a team of 5 and empowering collaboration on your team. Enterprise Plan: Enterprise is listed as Custom with “Talk to sales” and the FAQ says to contact sales for Enterprise plans."
AI & Automation; AI Image / Video; Design & Creative; Social Media,Simplified,simplified,https://simplified.com,https://simplified.com/#fleet,https://simplified.com/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:21:22.582Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly refers to “the free plan” and states, “Simplified is free to start with no credit card required.”"
AI & Automation; Automation; Workflow Automation; No-Code,Albato,albato,https://albato.com,https://albato.com/embedded/pricing,https://albato.com/embedded/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"from $5,000 /mo (Pro)",CHANGE,YES,Not explicitly verified,REVIEW,NO,"from $5,000 /mo (Pro)",CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Custom /mo,CHANGE,YES,Unknown,2026-08-23T08:21:32.931Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page offers a free PoC, but does not explicitly offer an ongoing Free plan. Starting Price: Pro is the first listed pricing plan and is priced from $5,000 /mo. Annual Billing: The page states that a 10% discount is available on annual subscriptions, but gives no annual price for Pro. Monthly Billing: Pro is listed as “from $5,000 /mo.” Team / Business Plan: No distinct Team or Business tier is presented; Pro is described as chosen by most SaaS teams. Enterprise Plan: Enterprise is explicitly listed at “Custom /mo.”"
AI & Automation; Automation; Workflow Automation; Business Operations,Pabbly,pabbly,https://www.pabbly.com,https://www.pabbly.com/#pricing,https://www.pabbly.com/#pricing,DISCOVERED,GENERIC,GENERIC,OK,PLAYWRIGHT,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:22:10.005Z,REVIEW,NO,"Discovered same-domain official pricing source. Free Plan: The page repeatedly says “START NOW — IT'S FREE!” but does not explicitly identify an ongoing Free plan. Starting Price: Complex product pricing requires review: The page presents multiple Pabbly Plus purchase models and prices, including $99 one-time, $139/mo monthly, $119/$109/$99 per month for yearly terms, and an FAQ stating the lowest plan is $59 per month. Annual Billing: Complex product pricing requires review: Yearly, 2 Yearly, and 3 Yearly prices are shown as monthly amounts, while the same page also advertises a $99 one-time plan and an FAQ stating a $59/month lowest plan; the current standard annual price is therefore unclear. Monthly Billing: Complex product pricing requires review: The pricing section shows $139/mo monthly billing, but the FAQ states that the lowest Pabbly Plus plan is $59 per month and other page sections advertise a $99 one-time plan."
